State	cereals	pulses	milk products	egg, fish & meat	other food	all
Andhra Pradesh	51	11	8	12	18	100
Assam	59	10	4	14	14	100
Bihar	62	9	9	6	15	100
Chhattisgarh	63	12	2	6	18	100
Gujarat	56	12	14	3	15	100
Haryana	51	8	27	2	13	100
Jharkhand	62	8	5	6	18	100
Karnataka	49	12	8	10	21	100
Kerala	37	9	7	26	21	100
Madhya Pradesh	66	10	8	2	14	100
Maharashtra	55	12	7	6	21	100
Odisha	65	9	3	7	17	100
Punjab	51	10	23	1	15	100
Rajasthan	64	6	17	1	12	100
Tamil Nadu	47	14	10	12	18	100
Uttar Pradesh	64	10	11	3	13	100
West Bengal	58	7	4	14	18	100
all-India	58	10	10	7	16	100
